제목,아이디,댓글 내용,좋아요 수,라벨,감정
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-md3vi2bn4x,아이들에게 한반도통일해야한다고 가르친다 그 아이들이 저 국회의원은 왜 북미회담 하지말자고 해요?그러면 뭐라고 대답해줘야할지 모르겠다4월 15일 국회의원 선거지?,4,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-cd7eg3yr9p,스타벅스 원산지에 대하여 방송한번 해주세요그냥 커피 마실때 원산지 확인 하시면 더욱 좋을것 같습니다   머 이정도로 방송해주시면 아주 좋아 할것입니다,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-sh6fg5en3b,"미쳤구나. 국민들이 보고 있는데? 말이 필요없다. 국회, 정부, 뭐든 어떤 자리든 퇴출 시켜야된다. 저건.",1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-cq2ue7gq3p,일본에 아베가 있다면 우리나라에는 나경원이 있다...  패망의 그날까지 파이팅...!!!,26,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-cb4zu4sp9l,나경원씨는 매국노가 아닌 애국자요. 본코쿠를 위해 저렇게 열심히 하지 않습니까. 자민당 한국지부 의원으로서 자위대 행사에 참여한 것만 봐도 알 수 있습니다. ㅎㅎ 다시 안 나올 애국자입니다.,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@mylastevil,지금 저렇게 막나가는 이유는 아마 뒷돈 챙길거 다 챙겨서 다음 국회는 상관없다는 마인드같은데 철저히 조사해서 재산몰수가죠,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-et8qw3wb6h,"나갱원의 총선 전 북미회담자제 요청 ?금지 명령 !코메디보다 더 웃긴 현실 ㅎㅎㅎㅎ얼굴마담, 치마사장, 허수어미다운 기괴한 발언---매를 벌어요 매를...내가 이렇게금식하며 고생하는데나갱원이 재를 뿌리고 있으니( 황교만, 황교활 )",1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-cb1wi3lg3q,와 진심 쩐다  머리든게  없는듯,2,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@chanmee26,친일파니까.. 일본을 위한 말이니까 틀린 말은 아니네 맞네.. 근데 왜 우리나라에 있니? 너네나라로 돌아가 제발,186,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@noiking3278,나경원 의원님 최고입니다.  열열히 지지 합니다.  계속 그렇게 훌륭한 정치 하셔서  아무도 자유한국당 안찍을수 있도록 힘내주십시요. 당신이 선두에 서서 자한당 소멸을 이끌고 황교안이 뒤에서 밀면서   장재원 김성태 등이 지원하며 가담하니 얼마나 아름다운지 모르겠습니다.,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-zo2bv3rr3y,여러분....생각이 없는 사람이  하는말에 손가락 힘 써가며   글자를  치지  말아요..그냥다음   투표때   지들이 얼마나   또라이 짖을 했는지   알거에요......,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@blessinga8200,도대체 나경원 국적이 어디냐일본과 미국편에  서서  일하는 너는 뭐냐!,243,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@HTChoi-qo9ux,저렇게 해도 뽑을 사람들이 있다는게.....,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-fh2fg2gw9s,아주 진짜미쳤구먼 나라망신 그렇게 의원질 하고싶냐,55,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@abcdefghijklmnopqrstuvppuni,유승준말고 저런 사람을 입국금지 시켜야하지 않나요 ? 우린 언제까지 쓰레기들을 뉴스에서 봐야하나요,4,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-fx1ib6jf2s,지가 뭔데 국가원수에게 저런것을 보내고 현 대통령을 무시하는 건가???,3,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@EricHwang-oh8eb,모르는건 잘못이 아니다그러나 모르는것을 신념으로 생각하고 믿고 행동하는것은 잘못이다그누가 말해도 저사람은 자신이 맞다고생각할것이다 제발 투표할때 좀걸렀으면 좋겠다 저런사람들,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@foxghsot,지방선거가 북미회담 때문에 니네들이 그리 됐냐 ㅋㅋㅋㅋ 진짜 대단들 하네 내년 총선에 박살 나야지 정신차리지,39,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@catchcook1261,여러분은 지금 자민당 🇯🇵 원내 대표 나베아가리또씨를 보고 계시네요 Good news,24,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@velatura,틀린말했고 생각이 없는건 덤,2,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@MrCho-yg5rr,자기 이익을 위해서 매국이든 뭐든 서슴치 않을 자. 이완용하고 똑같은 부류,31,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-np4ry8ng9q,미국에이런요구를했을때는뭔가뒷거래가있지않았을까‥,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@davidreno6536,자신도 결국 자신의 당에 불리할까봐 그런거구만.... 결국 자신도 북미회담엔 관심없고 단지 시점을 자신들에 유리하게 하려는 시도로밖에 안보임...,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-oo6rz2zw5v,저거왜 검찰은 조국처럼 조사를왜안하나???왜???뭐가,19,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@dali_choi,미친 ;;; 국내정치를 다른 나라에 도와달라는게 말이되냐고 어느 자주국가에서도 그렇게 안함,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ow5hi6xn6x,판사를 그만두길 잘했네요...무슨 판단력으로 재판을......없는죄도 뒤집어씌울거 같네요,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@songsong9438,"소시오패스'가 힘을 가졌을 때의 모습이다.국민에 대한 공감능력이 없고, 부끄러움이 없기에 ....그들의 힘을 가지게 되면 폭력이 된다.",12,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@hjpp7588,그래서 선거 땜에 북한애 돈주고 총 쏴달라고 했구나....  니들이 그렇지...,4,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ew8vs5ls6h,나경원 의원님  자녀들 입시비리 제대로 파해쳐서 죄값 받자요. 제가 틀린말 했습니까?,3,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-qe1kw1lw9l,"한국당 의원은 국회 의원이 아니라 ,민주당 하는일 반대만 하는 의원 같다그리고 국민 세금으로 울급 받는다.국회 의원으로서 하는 일이 없는 듯 하여.....",20,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@hanlee3048,우린 알고 있었다.. 아는 사람은 늘 알았고 모르는 사람은 아직도 몰라서 늘 속는다. 앞으로도 그랗겟지.. 우리 역사는 늘 당하는 역사였는데... 도대체 얼마나 당해야 정신차릴까? 국민에게 주어졌다 그 권리라는것.. 이제 좀 제대로 쓰자.,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ir4yx9cz1c,역시 친일 먼가 틀리네ㅋㅋ,8,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@man6949,그동안 하도 개소릴 처 해놔서 이젠 충격이 그리 크지 않다는게 더 놀랍다.,20,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@shinkilhoab,너 옳은 말 옳은 행동 한 적 없는 어른이오 자신이 한 행동과 지금까지의 행적을 뒤 돌아보소! 부끄럽지도 않나!? 조상분들이 하늘에서 다 보시고 계십니다,9,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@tkaf80,아니도대체 생각이란걸 하는걸까? 누가 저 매국노좀 처리해줬으면좋겠다 진짜,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@redskywin,"""제가 틀린말 했습니까?!"" 이부분에 개소름 돋았다...본인이 무슨짓을했는지 이해를 못하고있어;;; 이정도면 뇌 없네 없어 ㅋㅋㅋ",113,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@artistkim0911,같은 한국인이라는게  존나 부끄럽다...심지어 개뻔뻔철판 까지 깔았다이건 뭐....  답 없다 진짜...,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ef7nc9mg7w,어디다 내놔도 부끄러운 나경원,2,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@yongsukkwak7110,예전에...김대중 대통령 노벨평화상도 주지 말하고 로비한적이 있었죠?,58,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@borisom88,외국사람이 우리나라에서 국회의원 할수있나봐요 별이상한 당이 여당일때부터 야당일때까지 계속 우리 아이들을 너무 힘들게 하네요. 도대체 한국인이 맞는지 의심스럽습니다. 고발을 당하고 도 또 의심되는 사건이 많은데도 수사를 안받는것도요 아무래도 한국인이 아니니까 저리하겠죠 니네나라 가서 제발 살았음 좋겠어요,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@mjlee6687,금수만도 못한 야당 대표...저런 인간이 정치를 하니 순실정권을 만들었지....회계하라~~,8,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ro5ey5ps4b,안면몰수라는 말이 정말 잘 어울리는데.,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-tt2yc5mz7j,내가 한나당지지를 20년했다는게부끄럽다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@blackding100,아 진짜 풀파워로 싸대기 한대 “쫙” 소리나게 갈기면 소원이 없겠다.,366,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-vg9mh7vd9n,부끄럽다 대한민국 국민의 한사람으로서,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-qd6mn3rn5l,이여자 대가리에는 뭐가 들어 있을까 그런데 이런 여자가 판사였다니,6,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@puckinghand,소름끼치는건 판사출신이라는거...,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-fj6fm9ee5z,국회의원 자격이 없다 사퇴해라,49,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@monstery1000,나경원씨는 본인이 뭔짓을 하는지 이해를 못하는듯. 알면 저럴수 없지. 욕먹는게 취미생활인가?,2,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-pk6ts8uz1y,나경원의원님 적극적으로 지지합니다감사합니다,3,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-mr6st4so5l,당  해체하자,8,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@bulttong,검찰이 나경원좀 고소했으면 좋겠다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-zt1wn6hy8g,부끄러움은  국민의 몫인가?????,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-qy8hv3fv7s,현실판 이완용ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,55,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-dq8bf7bw6r,얼마나 인류가 발전해야 정치가 성숙해질까.. 마냥 다른정당 까 내리기 바쁘고 시기하기 바쁘고 기득권 유지하기 바쁘고.. 진정 국민들을 생각하는 정치인 몇이나 될까?,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@Gentleguykorea,어찌이런것이 국회의원인가..,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@XERXES23,똥인지 된장인지 찍어먹어봐도 모르는 인간인데 저런 분별 못하는 사람 정치 그만두게 도와줘야 할듯 하네요..저런 사람이 계속 정치하다가 그럴일은 없겠지만 혹시나 대통령같은 지도자가 된다면 제2의 박근혜 되지말란법은 없겠지요..,2,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@wowlove7,자기가 무슨말을 했는지 그 말이 어떤 작용을 하는지도 모르는 바보같은것.... 어휴.... 저거 내년에도 뽑아주겠지?,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-vn9mu8vf6d,이제 질린다.,46,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@flower7023,노벨평화상 후보였던 고 김대중 대통령 상 주지말라고 주최측에 편지보냈다던 소문이 이해가 가는...ㅠㅠ,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@nokidding4965,지가 틀린 말 했는지도 모르니 어떡해~~,5,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@MrDragon6558,사람이 멍청하고 신념이 있으면 저 꼴인거다,2,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@FUOCO.,무슨 일본이 사주한거 외에는 이해할 방도가 없다. 무슨 생각인거지,6,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@geonukim5993,나경원이 총선까지 버텨야한다ㅋㅋㅋㅋㅋㅋ,18,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@sky-vj9jd,클라스가 기가 막히네요.  정권 창출을 위해서는 뭐든 해도 되는건가..,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-jw9lh1ss5g,저 여자 지역구 주민들 참 행복하겠어요,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@enterprise01,"심상정 발언 핵사이다다ㅋㅋㅋ""미국에 손벌려달라고 갔냐.""ㅋㅋㅋ 너무 후드려패는것아냐ㅋㅋㅋ 자한당 오늘도 까이네ㅋㅋ",2,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@icimas2,어  맨날 헛소리만해 그리고 조사좀 받아라. 당신도 가족수사 받아야돼. 짜장배달은 덤이다. 알지?,16,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@Oktang2099,자.. 이제보자..매국을 이해 못하는 지지자들이 누구냐?,2,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@ENCHOILIFE,틀린줄 모르다니... 최악이네 ㅋㅋ,9,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@jeongryeolshin1138,내년 총선에 백석은 얻겠지..  정신차립시다 진짜...,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-oi6zw1fp9b,어쩜 저리 당당하고 뻔뻔스러운지,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-mb5bb9xj1o,이래서 좀비당이라고자아비판 받는거지딸생각해서 이려면 않되는것 아냐~나중에 두눈에 눈물이  폭포수 되라고 ㅜㅜ_ㅜㅜ기도할게,20,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@him5212,"제정신이 아닌 여자,,저런게 국회의원이라고,,쯧쯧쯧ᆢ막말로 저런사람은 이땅에 발 못붙히게해야한다!",1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@zzondi,쟤 진짜 서울대는 어떻게 나온거야?  저게 임기응변인가...ㅎ 대놓고 대책없는 여자...공부머리랑 사리분별력 머리는 별개인건가...,9,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ym7dl7vs4z,틀린말을 했으니까 문제지 지들은 더 심하면서 웃기고 있네,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ex3yc1xz3y,ㅋㅋㅋ 자유일국당이니 당연 틀린말한게 아님..,17,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-yd5kd8qb7t,자한당을 왜 뽑아주는걸까...정말 이런 모습 보고도 뽑는 사람이 있다는 건 놀랍다..,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@mwolae,진심 저게 사람인가.. 아 아니구나,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@jonykim86,진짜 맞는 말 잘한다. 쳐맞는말...ㅡㅡ,5,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ks1zd3gl9r,미친 소리를 이렇게 당당하게 할 수 있구나,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-tw9vk1qj3r,대한민국 정치판은 제대로 된것들이 없어,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@enrique8252,이제 하다하다 아주 갈때까지 가셨구만 ㅋㅋㅋㅋㅋ 그래~ 다음 총선때 봅시다 ㅋㅋ,13,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-xs7pw6yt2j,나라따위 머리속에 없죠!!!,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-hq6zu7no6s,궁지에 몰리니까 발악하네ㅋㅋㅋㅋ,19,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-xz2zr4ss3w,답없다 진짜,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-lh7mu6es9j,국회의원 정치 생명은 시민들이 쥐고 있다는 점을 명심해라.,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-vb3cg7df9o,⟨나⟩는⟨경⟩우가 없는 ×이에요.⟨원⟩래 그런 ×이에요.,88,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-oi7jx7kp1c,아~ 정말 창피하다! !,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-nr4pd3mg4f,햐~~~할 말이없다.,5,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@edgzeus3842,아니 저 여자는  심한거 아니냐?? 일부러 욕먹을라고 저러는거 아님??이제는 욕도 안나옴;; 진짜 놀랍지도 않음,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-vr3it7wq8r,자유매국당ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,42,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@thinwood,맞고 틀리고의 기준이 뭐냐,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-md3hj6pk2w,제 정신이 아닌줄 알았지만 이젠 미쳤구나,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-gi9zr4cz8f,나경원 진짜~ 나쁜사람이다~,10,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-iw7yx1cs7k,자식들 어찌살라고 저러고있나 ㅡㅡ,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@Hwaniiiii,부끄러움을 모르는 인간은  나랏일 하면 안된다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@sharboy123,진짜 저 여자만 보면 딴데로 틀지만 꼭 마귀할멈같음..,18,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-pd4mu5np8t,오직 나베는 자기 이익만 생각하는 인간이다~진짜 대단하다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-iz1kc5xr5b,나경워이 옳은말햇내,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@MBF-02VV,와 진짜 뻔뻔하다,11,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-hy6eu1ku3r,나베란 말을 첨 알았습니다.,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@justcamping6335,틀린 말 아니다. 쳐 맞는 말이다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@jongsun2063,자유 막말당,16,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-zc9dh7og7i,이래도 나경원 및 자한 옹호하는 사람 많지...진짜 화나는걸 넘어 무섭다,11,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@doobv,나완용 ㅋㅋㅋ나완용 ㅋㅋㅋ나완용 ㅋㅋㅋ,16,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-yf6pp9xz9z,똥인지 된장인지구별을 못하는 듯말인지 방구인지저입은 폭탄인 듯,6,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ls4fu3vu6g,끝까지 멀 잘못 했는지 모르는 나한당,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@eo.o3,"아니, 얘네 미국 존나 좋아하지 않냨ㅋㅋ미국이 하려는데 왜 지가 뭐라함",12,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ni5zf3be8b,아 진짜 나경원 면상만 봐도 울화가 치민다,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-me8kx3hi9m,창피해~ ㅠㅠ,9,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@heejuingjaing1274,이분 정말  나중에  역사책에  이름 실리실듯 허허,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@hjl7230,아 매국에 수준이하에 진짜 쪽팔리다,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@m-o9528,이러니 토착왜구소리를 듣지 ㅉㅉ,12,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@vpdla3202,하 진짜 답도 없는,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@lwsb3308,저런 머리로도 국회의원 할 수 있구나 근데 더 웃긴건 저런 머리로 국회의원하는데 연봉이 1억이 넘네?? 내 세금 ㅠㅠㅠㅠ,1,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-gz6qj7qz6r,저정도면 고정간첩이라 불려도 이상하지 않은데,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-ck7in1nk1j,난 요즘 나베가 점점 맘에든다 내년 총선 걱정 안해도 되것어 ㅎㅎㅎ,4,a,1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@user-tr8nt2qg8c,무지하면서 더럽게 당당하네!,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@subok1849,헐~  맞는말 했는데??? 왜??,1,a,-1
나경원 _내가 틀린 말 했나_…與 _부끄러운 매국_ (2019.11.28_뉴스데스크_MBC),@seehoo4873,ㅋㅋㅋ 얜 진짜 이해할수가없어,15,a,-1
